document,text,label,text_len_words,label_id
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1,"Upon reasonable notice, and during normal operating hours, Heritage shall permit Premier or its representatives reasonable access to portions of the Heritage Facilities, the Jasper Facility or any other Facility used to produce the Products for the purpose of ascertaining Heritage's and Jasper's compliance with good manufacturing practices and Premier's Specifications and Post Holdings' Quality Expectations.",Audit Rights,56,4
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement,"MMT will require its sublicensees to provide to it a report detailing the foregoing expenses and calculations incurred or made by such sublicensee, which report will be made available to SIGA in connection with any audit conducted by SIGA pursuant to Section 6.5.",Audit Rights,43,4
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT,1 st day of May 2006,Agreement Date,6,2
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT,"Neither Party shall sell, assign, subcontract, transfer or dispose of this Agreement or any part thereof, without the prior written consent of the other Party or otherwise enter into an agreement with any other Party for Services contemplated herein.",Anti-Assignment,39,3
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,"This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.",Expiration Date,54,12
"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT",Monthly Royalty Fee: Five percent (5%) of the Hotel's Gross Rooms Revenue for the preceding calendar month,Revenue/Profit Sharing,17,32
TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT,"The term of this Agreement shall commence January 1, 1996, and shall continue for a period of three (3) years, concluding December 31, 1998.",Expiration Date,24,12
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement,"NFLA to feature Company in Weekly Newsletter ""Partner Spotlight"" a minimum of four (4) times per year.",Minimum Commitment,17,20
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement,Minimum Performance won't be determined until FDA 50k market clearance is obtained.,Minimum Commitment,12,20
IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT,"To the extent that Company, by operation of Law or otherwise, acquires any right (other than pursuant to this Agreement) to any of the Product Trademarks, any other Trademarks of Janssen, such copyrights or such other intellectual property rights, Company shall assign to Janssen all such rights at Janssen's cost and will not claim ownership.",Ip Ownership Assignment,55,15
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement,"Neither NETTAXI or SpinRecords.com shall assign its ---------- respective rights or delegate its obligations hereunder, either in whole or in part, whether by operation of law or otherwise, without the prior written consent of the other party. Any attempted assignment or delegation without the other party's written consent will be void.",Anti-Assignment,51,3
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,"Each Station will provide Network with up to 5.0 mbps, but, at all times, not less than 2.0 mbps, for this purpose, except as required in infrequent and exceptional circumstances resulting from a Station's carriage of the primary television network with which such Station is affiliated with regard to its Primary Feed (e.g., ABC, CBS, NBC and Fox)",Minimum Commitment,58,20
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,Network 1 shall have the exclusive right of first refusal to purchase all or any part of the revenue due Affiliate or acquire Affiliate (as the case may be) on the same terms and conditions as the Bona Fide Offer.,Rofr/Rofo/Rofn,40,33
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement",Each Party will comply with any reasonable safety and security measures which may be imposed by the other Party when visiting such other Party's location.,Audit Rights,25,4
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement,"At Rogers' option, this Agreement shall renew for a subsequent term of two (2) years on the terms and conditions herein (the ""Renewal Term"").",Renewal Term,24,31
QBIOMEDINC_04_08_2020-EX-99.1-JOINT FILING AGREEMENT,"Yorkville Advisors Global, LP",Parties,4,28
"SightLife Surgical, Inc. - STRATEGIC SALES _ MARKETING AGREEMENT","If and to the extent that any Work Product is found as a matter of law not to be a ""work made for hire"" within the meaning of the Act, Surgical agrees to assign, and by this Agreement and Surgical's signature below, Surgical hereby does assign to Imprimis all right, title and interest in and to Work Product, and all copies thereof, and the copyright, patent, trademark, trade secret and all other proprietary rights in Work Product.",Ip Ownership Assignment,77,15
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,"If the Board elects to pursue such Neutraceutical Opportunity, the Operating Company then shall have exclusive rights to exploit such Neutraceutical Opportunity, but solely with respect to use of Astaxanthin as a Neutraceutical, and, subject to Article 8.1, the Party (or its Affiliate) that has developed, discovered or acquired such opportunity, product or process will, however, be entitled to exploit such opportunity, product or process for application outside of use of Astaxanthin as a Neutraceutical",Competitive Restriction Exception,75,7
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT","This Agreement will become effective on the Effective Date, and will continue until the expiration of the ""Sales Term"" as that term is defined in the Sales Dealer Agreement dated as of August 16, 2017 between Vivint and Vivint Solar Developer, LLC (the ""Term"").""",Expiration Date,44,12
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement,This Agreement shall be governed by the laws of the State of Iowa.,Governing Law,13,13
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement,"In further consideration for the Service and the other -------- obligations of the Company hereunder, for each package shipped by or through an MBE Center by an eBay Customer (""eBay Package""), the Company shall be entitled ------------ to receive the following amounts from such MBE Center for eBay Packages shipped during each calendar month, in each case ---------- * Confidential treatment has been requested for the bracketed portion. The confidential redacted portion has been omitted and filed separately with the Securities and Exchange Commission. -10- after deduction of the lesser of (x) [***]* and (y) the amount paid or to be --- paid by such eBay Customer directly to the Company with respect to the shipment of such package (the ""eBay Fee""): -------- (i) in the event that at least [***]* but less than [***]* eBay --- --- Packages have been shipped by MBE and the MBE Centers during the Measurement Period, the amount of [***]* per eBay Package shipped via air transportation and --- the amount of [***]* per eBay Package shipped via ground transportation; --- (ii) in the event that at least [***]* but less than [***]* eBay --- --- Packages shall have been shipped by the MBE Centers during the Measurement Period, the amount of [***]* per eBay Package shipped via air transportation and --- the amount of [***]* per eBay Package shipped via ground transportation; and --- (iii) in the event that at least [***]* eBay Packages shall have been --- shipped by the MBE Centers during the Measurement Period, the amount of [***]* --- per eBay Package shipped via air transportation and the amount of [***]* per --- eBay Package shipped via ground transportation.",Revenue/Profit Sharing,279,32
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1,You must also cause the general contractor to maintain workers' compensation and employer's liability insurance as may be required by law.,Insurance,21,14
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement,"During the cooperation between the parties, Party A agrees not to enter into any form of cooperation with Qihoo 360, unless PartyA needs such cooperation with Qihoo 360 for business or technology and Party B has provided its prior consent.",Competitive Restriction Exception,40,7
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT,EXCLUSIVE DISTRIBUTOR AGREEMENT,Document Name,3,9
KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,"Agent shall supply to Kallo the full business data of each customer as a qualified prospect and at the time of sale and shall, during this Agreement and while it is still responsible for its",Post-Termination Services,35,29
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ","Such grant by PPI shall include the right of EKR to market the Product in the Territory during the Term as an EKR product using in addition to the Trademarks, EKR's own trademarks, trade dress, trade names and other proprietary designations in combination with the Trademarks.",License Grant,46,18
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement,All policies shall provide Franchisor with at least thirty (30) days' notice of cancellation or termination of coverage.,Insurance,18,14
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,The initial term of this Agreement shall be three (3) calendar years from the Agreement date.,Expiration Date,16,12
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement,"Licensor hereby grants Licensee a non-exclusive license to use the logos, trademarks and service marks used by Licensor to identify the Titles (collectively, ""Licensor Marks"") in connection with the use of the Titles as set forth in this Agreement. Li",License Grant,40,18
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,"After termination is effective and Aucta assumes control of the Product, ETON will provide, to the extent practicable, transition services to Aucta to include assistance with Product distribution, processing of rebates, drug safety, etc. at Aucta's cost for such services, for a reasonable period of time as mutually determined by the Parties but not to exceed one hundred eighty (180) days following termination so that Aucta can get its own such services in place.",Post-Termination Services,74,29
STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT,Ultrallne (Bermuda) Limited,Parties,3,28
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement,"Subject to the terms and conditions of this Agreement, Licensor hereby grants to Licensee, and Licensee hereby accepts from Licensor, a personal, non-exclusive, royalty-free right and license to use the Licensed Mark solely and exclusively as a component of Licensee's own corporate name and in connection with marketing the investment management, investment consultation and investment advisory services that Investment Advisor may provide to Licensee.",Non-Transferable License,64,26
VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT,Party B shall have a right to obtain copies of all of the Joint Venture Company's accounting books and other documents at their own expense but the originals thereof shall be left in the care of Party A.,Audit Rights,38,4
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement,"If Licensor enters, or has entered, into an agreement or series of agreements (including side letters, understandings or arrangements, whether oral or written, whether formal or informal, whether now or hereafter effective, or whether on a long-term basis or short-term basis) with a third party for the distribution and exhibition of Licensed Programs in the U.S. or the Territory on a VOD basis, or any other basis that permits the downloading of such Licensed Programs and the subsequent viewing of such Licensed Programs by a residential subscriber, on terms (including, without limitation, license fees, copyright royalty payments, encoding fees and obligations, and marketing support) that are more favourable than those contained in this Agreement, then Rogers has the right to incorporate, or substitute, as the case may be, such term or terms into this Agreement, effective as of the date on which such term or terms were accorded to the third party and for the balance of the period such term or terms are applicable to such third party.",Most Favored Nation,169,21
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"This Agreement was entered into in the State of Florida, and its validity, construction, interpretation, and legal effect shall be governed by the laws and judicial decisions of the State of Florida applicable to contracts entered into and performed entirely within the State of Florida.",Governing Law,45,13
JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT,"You must provide us with copies of policies evidencing the existence of such insurance concurrently with execution of this Agreement and prior to each subsequent renewal date of each insurance policy, along with certificates evidencing such insurance.",Insurance,37,14
PROLONGINTERNATIONALCORP_03_23_1998-EX-10.16-SPONSORSHIP AGREEMENT,"During the term of this Agreement, Sabco will not ----------- represent or accept as a primary, secondary, or associate sponsor any other company reasonably deemed to be competitive with Prolong products.",Exclusivity,31,11
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement","This Agreement shall be governed by and construed in accordance with the laws of the State of Texas and venue for any legal action brought in State Court shall lie exclusively in Tarrant County, Texas and venue for any action brought in federal court shall lie exclusively in the Northern District of Texas, Fort Worth Division.",Governing Law,56,13
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"Subject to the mutual agreement of Vendor and Distributor, in the event that Vendor provides a new sales lead to Distributor that results in the sale of the Products, Distributor shall pay to Vendor a commission equal to twenty-five percent (25%) of the gross profit for the Products, where gross profit shall mean the difference between the price paid by the customer (where Distributor will determine the customer price for the Products on a case by case basis) and the price paid by Distributor for the Products.",Revenue/Profit Sharing,87,32
"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement","Statutory workers' compensation insurance and employer's liability insurance for a minimum limit equal to at least the greater of One Hundred Thousand Dollars ($100,000) or the amounts required as underlying by your umbrella carrier, as well as such other disability benefits type insurance as may be required by statute or rule of the state in which the Franchised Business is located.",Insurance,61,14
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,"Notwithstanding the foregoing, upon the prior written approval of Skype, which approval may be withheld in its sole discretion, the Company shall be permitted to sublicense its rights hereunder to a wholly-owned Subsidiary, a majority-owned Subsidiary of Tom Holding, or to an unaffiliated third party distributor or reseller, for the same purpose and under the same terms and conditions as the license set forth herein.",Affiliate License-Licensee,65,0
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement,"Company agrees that it will not at any time contest the ownership or validity of any Reed's Intellectual Property or Deliverables, nor register or attempt to register any rights with respect to Reed's Intellectual Property, nor do anything that would jeopardize or diminish Reed's rights to or the value of Reed's Intellectual Property or Deliverables.",Covenant Not To Sue,55,8
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement,INTELLECTUAL PROPERTY RIGHTS AGREEMENT,Document Name,4,9
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,The audit shall be limited to pertinent records kept by Aimmune and its Affiliates and Sublicensees for any year ending not more than [***] ([***]) months prior to the date of the written notice.,Audit Rights,34,4
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT","In addition to the payments set forth in sections 4.2.1 and 4.2.2, above, ISA will pay Rubicon 30% of ISA's profits (defined as gross revenues less costs directly incurred in the generation of such revenues) on projects for which Rubicon has provided Contract Services after ISA has recouped any directly attributable start-up costs with respect to such project up to a cumulative maximum of £100,000 of such costs associated with all such projects from the date of this agreement.",Revenue/Profit Sharing,79,32
"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement",Section 19.3.3 above will not apply to your ownership of less than five percent (5%) beneficial interest in the outstanding equity securities of any publicly-held,Competitive Restriction Exception,25,7
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT","In the event that termination is the result of Ginkgo exercising the Buy-Down Election (including payment of the Buy-Down Amount), then, as of the effective date of termination: (a) any and all existing Headstart Periods shall immediately be deemed to have accelerated to conclusion, (b) the restrictions on BLI set forth in Section 6.2.1 (Restrictions on BLI) shall terminate; (c) the licenses granted to Ginkgo from BLI in Section 9.1.1 (Scope of Grants) and 9.1.2 (License Grant to Exploit [***]) shall survive and become perpetual and irrevocable; (d) the licenses granted to BLI from Ginkgo pursuant to Section 9.2 (Grants to BLI) shall survive; (e) any Licensed Products arising from Collaboration Workflows or Ginkgo Workflows developed and used by Ginkgo to good effect prior to the effective date of termination shall be [***] on any sale or transfer of such Licensed Product, (f) (i) for any Licensed Products arising from Workflows other than those set forth in subclause (e) of this Section 13.3.2 (Effects of Termination Based on Ginkgo's Buy-Down Election), Ginkgo shall pay [***] and (ii) Ginkgo shall pay [***] for as long as one or more Beacon Optofluidic Machines are in operation at Ginkgo, (g) the pricing terms for Beacon Optofluidic Machines, Consumables, and services (including Services) shall be consistent with then-current BLI List Prices, and (h) Ginkgo shall pay BLI for any amounts due for work performed by BLI under and in accordance with this Agreement prior to the effective date of termination to the extent that BLI cannot reasonably cancel or reallocate such work.",License Grant,258,18
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","individually as a ""Party,"" and collectively as the ""Parties."" C",Parties,10,28
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","May 14, 2014",Agreement Date,3,2
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,"Subject to the terms and conditions of this Agreement, Licensor hereby grants to Licensee, and Licensee hereby accepts from Licensor, an exclusive, non-transferable (except as set forth in Section 10.7) and non-sublicensable (except as provided in Section 2.1(c)) license to use the Licensed Content in connection with websites associated with the Licensed Domain Names until the earlier of (i) termination or expiration of this Agreement, or (ii) termination or expiration of the Agency Agreement, provided, however, that in the event the Agency Agreement is amended or restated, such amendment or restatement shall not be deemed a termination or expiration of the Agency Agreement.",Non-Transferable License,103,26
PhotronicsInc_20171219_10-QA_EX-10.28_10982650_EX-10.28_Outsourcing Agreement,"If a Product fails to comply with the foregoing warranty, the relevant Supplier shall, at its option, either [***]such Product, or, in the event the foregoing options are not commercially practicable, [***]to the Company any amounts paid for the applicable Product.",Warranty Duration,41,40
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT",Under no circumstances INGRAM NETGEAR Distributor AGREEMENT 9 083096 is NETGEAR liable for any third-party claims except for those described in this section and in the section entitled CLAIMS OF INFRINGEMENT.,Cap On Liability,31,5
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT","The total value of the returned Products shall not exceed [*] of the Net Shipments invoiced by NETGEAR for all Products, [*], during the [*] immediately preceding each of the above dates.",Volume Restriction,32,39
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement","if IGER would enter into any agreement (or amendment of an existing agreement including without limitation EXISTING AGREEMENTS) after the Effective Date with a not-for-profit third party with respect to research in the field of environmental impact, carbon sequestration, climate change mitigation, agronomy, or compositional or conversion analysis relating to COLLABORATION CROPS, such agreement must provide that (i) IGER will receive the exclusive right (subject to Articles 5.1.2(a) and 5.2) to use and exploit commercially the results obtained pursuant to such agreement for GERMPLASM IMPROVEMENT of COLLABORATION CROPS and (ii) CERES will have access to the results of such research programs to the extent allowed by the relevant agreement between IGER and the third party and IGER will use reasonable efforts to obtain such right for CERES.",Competitive Restriction Exception,127,7
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement,Cellco Partnership d/b/a Verizon Wireless,Parties,5,28
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,"eDiets hereby grants Women.com a non-exclusive, non-transferable, royalty-free worldwide right and license without the right to sublicense to use the eDiets Marks during the Term solely in connection with (i) the fulfillment of Women.com's obligations under this Agreement, and (ii) in advertising and marketing collateral related to this Agreement.",License Grant,49,18
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT,"The initial term of this Agreement shall be for 3 years (the ""Initial Term"") commencing on the date first set forth above (the ""Commencement Date"") and ending on the 3rd anniversary of the Commencement Date.",Expiration Date,35,12
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,"In the event of termination of this Agreement or a cancellation of a Purchase Order, and/or discontinuance of a Product, or excess materials created by an Engineering Change, Customer agrees to compensate Contractor for unused material inventory which are affected by such termination, cancellation or discontinuance",Post-Termination Services,46,29
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement,"Within [***] of the effective date of such termination (or as promptly as practical thereafter, if such period is not practical under Applicable Law), [***], Sanofi shall transfer and assign to RevMed all Regulatory Approvals relating to Termination Products, and, to the extent not previously provided to RevMed, transfer other Regulatory Materials including data from preclinical, non-clinical and clinical studies conducted by or on behalf of Sanofi, its Affiliates or Sublicensees on any Termination Products and all pharmacovigilance data (including all adverse event databases) on any Termination Products.",Post-Termination Services,88,29
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement","Miltenyi's sole obligation, and Bellicum's sole and exclusive remedy for breach of the Miltenyi Product Warranty in Section 11.1, shall be as set forth in Article 7, including replacement or refund in accordance with Section 7.6, provided that Miltenyi shall pay reasonable return freight and shipping charges.",Cap On Liability,47,5
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"You will, in the event you continue to operate or subsequently begin to operate any other business, not use any reproduction, counterfeit, copy or colorable imitation of the Marks either in connection with such other business or the promotion thereof, which is likely to cause confusion, mistake or deception, or which is likely to dilute our exclusive rights in and to the Marks and will not utilize any designation of origin or description or representation which falsely suggests or represents an association or connection with us so as to constitute unfair competition.",Non-Compete,92,24
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,"During the Term of this Agreement, Impresse agrees to purchase from VerticalNet Banners and Newsletters for a total price of at least $[*] as set forth below in this Section 4.3 [BANNER/NEWSLETTER PURCHASE COMMITMENT].",Minimum Commitment,34,20
Apollo Endosurgery - Manufacturing and Supply Agreement,This Agreement shall commence on the Effective Date and shall be valid for a period of five (5) years with automatic renewal of one year thereafter until terminated,Expiration Date,28,12
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement,"The Agreement executed offline in paper form shall become effective upon the completion of the execution by both Parties (hereinafter referred to as the ""Effective Date""); and the Agreement executed online in electronic form shall become effective upon the completion of the execution on the Contracting Platform by both Parties (hereinafter referred to as the ""Effective Date"") recorded by the third-party Online Document Depository.",Effective Date,64,10
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,The initial term of this Agreement shall be for a period of five (5) years from the date first set forth above and shall thereafter automatically renew for additional two (2) year terms unless a party provides the other party with notice of non-renewal no less than 6 months prior to the expiration of the initial term or any renewal term unless earlier terminated as follows,Expiration Date,66,12
"WASTE2ENERGYHOLDINGS,INC_06_03_2010-EX-10.2-STRATEGIC ALLIANCE AGREEMENT",This Agreement is governed by English law.,Governing Law,7,13
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT","August 6, 2004",Agreement Date,3,2
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",maintain property damage and liability insurance and insurance against loss or damage to the Transferred Equipment as part of PPI's general liability insurance.,Insurance,23,14
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,"ETON, for itself and its Affiliates, hereby grants to Aucta in accordance with the terms and conditions of this Agreement, a right and license, to its trademark, including to its name and logo, that is owned or controlled by ETON or its Affiliates for Aucta (or its authorized Third Party) to make the packs, labels, and leaflets for the Products for sale in the Territory.",License Grant,65,18
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,"Customer may terminate this Agreement, or any portion of Services specified herein, for convenience by: providing at least sixty (60) days prior written notice to IBM; and paying the applicable early termination charges specified in Attachment C.",Termination For Convenience,37,35
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT,"Except as otherwise provided in this Subsection 3(b), upon termination or expiration of the Agreement (or this Attachment 6, in the",Post-Termination Services,21,29
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT","by applicable Laws and regulations. GSK, at its sole discretion, shall also give due consideration to transferring to Theravance any additional regulatory filings for a Terminated Development Collaboration Product which contains a Theravance Compound as a Combination Product.",Joint Ip Ownership,38,17
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,"Subject to the other provisions of this Agreement, the term of this Agreement shall commence on the Effective Date and shall remain in effect until terminated by either Party upon thirty (30) days' prior written notice.",Expiration Date,36,12
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,"To the extent that ownership of Intellectual Property Rights does not vest in the Company by operation of law, the Executive hereby assigns to the Company his entire right, title and interest in all Intellectual Property Rights which arise in the course of performing his obligations under this Agreement (including all present and future copyright, and copyright revivals and extensions).",Ip Ownership Assignment,60,15
"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT","December 19, 2019",Effective Date,3,10
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement,HCI shall be entitled to all net revenue generated from advertising and e- commerce transactions generated by Canadian companies that may take place on the Co-Branded Site up to and including [*] US in any given year.,Revenue/Profit Sharing,37,32
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,"Network Affiliate may not assign or transfer, by operation of law or otherwise, any of its rights under this Agreement or delegate any of its duties under this Agreement to any third party without NCM's prior written consent, which consent shall not be unreasonably withheld, conditioned or delayed",Change Of Control,48,6
"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT","This JV Agreement cannot be assigned by a Party, also as a result of the transfer of a business as a going concern, of a merger, of a de-merger or of a spin-off, without the prior written consent of the other Party.",Change Of Control,42,6
"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT",PRAIRIE SECONDARY ACQUIROR E LP,Parties,5,28
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,"For the purposes of this Agreement, any change of control, merger, consolidation, or acquisition of all or substantially all of the assets of Network Affiliate (collectively, a ""Change of Control"") shall be deemed an assignment.",Change Of Control,35,6
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement","Subject to the condition above, HEMISPHERX hereby grants SCIEN the exclusive license to sell, market, and distribute Product for use in the Field in the Territory for Direct Access/EAP and Regulatory Agency-Approved (RAA) purposes.",Exclusivity,34,11
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement,"This Agreement is entered into in the State of Texas and shall be governed, interpreted and construed in accordance with the laws of the State of Texas without regard to the conflicts of laws provisions thereof.",Governing Law,36,13
KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT,"During the Term, subject to the terms and conditions of this Agreement, Depomed hereby grants to King and its Affiliates and King and its Affiliates hereby accept a co-exclusive right to Promote the Product under the Depomed Trademarks in the Territory together with Depomed and its Affiliates only, on the terms and subject to the conditions set forth herein.",Affiliate License-Licensee,59,0
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,"This Agreement shall be automatically renewed for an additional one year period on each anniversary of the Effective Date, unless terminated by either Party hereto upon ninety (90) days written notice to the other.",Renewal Term,34,31
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,"Without limiting the foregoing, Vyera shall have the exclusive right and responsibility throughout the Territory for the following: (a) receiving and accepting orders for the Licensed Product from customers; (b) distributing the Licensed Product to customers; (c) controlling invoicing and collection of accounts receivable for Licensed Product sales; (d) recording Licensed Product sales in its books of account for sales (in accordance with Vyera's accounting standards consistently applied (currently GAAP)); (e) subject to Section 5.5, determining pricing for the Licensed Product and all aspects of the promotion (including promotional materials) to be used in Commercializing Licensed Products; (f) negotiating with Third Parties, including without limitation, payors, pharmacy benefit managers and distributors, with respect to sales and distribution of Licensed Product; and (g) paying all rebates, chargebacks and other amounts due to customers in respect of Licensed Products (it being understood that all such amounts shall be deducted in calculating Net Sales).",Exclusivity,151,11
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,"Dova Pharmaceuticals, Inc.",Parties,3,28
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",Either party may terminate this Agreement at any time on prior written notice to the other.,Termination For Convenience,16,35
WESTERN COPPER - NON-COMPETITION AGREEMENT,GLAMIS GOLD LTD.,Parties,3,28
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT",The Reseller Agreement can be terminated at any time at the discretion of either party.,Termination For Convenience,15,35
